Platform,SRX400
Image,25.4X300-202603150112.0-EVO
TESTCASE,PARAMETER,THROUGHPUT
Firewall Throughput,UDP 64B,"560KPPS/376Mbps, CPU: 99%"
Firewall Throughput,UDP IMIX,"610KPPS/1820Mbps, CPU: 98%"
Firewall Throughput,UDP 1514B,"488KPPS/6Gbps, CPU: 90%"
IPSEC VPN Throughput (S2S, PSK, AES256-GCM),UDP 64B,1940446
IPSEC VPN Throughput (S2S, PSK, AES256-GCM),UDP IMIX,1940446
IPSEC VPN Throughput (S2S, PSK, AES256-GCM),UDP 1400B,1940446
AppSec Throughput,HTTP 64KB,1938096
AppSec + SSL Throughput,HTTPS 64KB,1938096
AppSec CPS,HTTP 64B,1938096
